FD138,小菊,卡洛琳
FD145,小菊,紅斯不列
FD150,小菊,紅風車
FD200,小菊,金
FD201,小菊,金咖啡
FD202,小菊,淺小金
FD203,小菊,金小菊
FD204,小菊,小金紅
FD205,小菊,金初鳳
FD206,小菊,雙色金紅
FD207,小菊,雙色金黃
FD208,小菊,金孔雀
FD209,小菊,椪柑
FD210,小菊,吉祥金
FD211,小菊,德國風車
FD232,小菊,珍珠金
FD235,小菊,林克小金
FD245,小菊,金斯不列
FD250,小菊,金風車
FD300,小菊,黃
FD301,小菊,黃金月
FD302,小菊,黃銅錢
FD303,小菊,空心黃
FD304,小菊,聖誕球
FD305,小菊,黃初朝
FD306,小菊,多朵秀鳳
FD307,小菊,黃乒乓
FD308,小菊,黃丁字菊
FD309,小菊,日本黃
FD310,小菊,青心黃
FD311,小菊,木瓜黃
FD312,小菊,黑心小黃
FD313,小菊,湯匙黃
FD314,小菊,鈕扣菊黃
FD315,小菊,黃鑽石
FD316,小菊,冬月小黃
FD317,小菊,跳舞黃
FD318,小菊,小光輝
FD319,小菊,木瓜黃(重瓣)
FD320,小菊,荷蘭黃
FD321,小菊,吉祥黃
FD322,小菊,金絲黃
FD323,小菊,一點黃
FD324,小菊,法國小菊黃
FD325,小菊,黃瑪格麗特
FD326,小菊,蒙那麗莎陽光黃
FD330,小菊,黃麵線小菊
FD345,小菊,黃斯不列
FD350,小菊,黃風車
FD400,小菊,粉
FD401,小菊,秋陽
FD402,小菊,大新粉
FD403,小菊,空心粉
FD404,小菊,花花世界
FD405,小菊,寒初朝
FD406,小菊,阿來粉
FD407,小菊,粉乒乓
FD408,小菊,瓊桃粉
FD409,小菊,炎陽粉
FD410,小菊,林哥粉
FD411,小菊,湯匙粉
FD412,小菊,粉雲南菊
FD413,小菊,粉初鳳
FD414,小菊,大陸粉
FD415,小菊,哈雷粉
FD416,小菊,珍珠粉
FD417,小菊,粉炎
FD418,小菊,粉火焰
FD419,小菊,日月小粉
FD420,小菊,荷蘭粉
FD421,小菊,水玲瓏
FD422,小菊,吉祥小粉
FD423,小菊,粉日記
FD424,小菊,小桃紅
FD425,小菊,瑪格麗特粉
FD426,小菊,香檳哈雷
FD427,小菊,粉佳人
FD428,小菊,日曆小粉
FD429,小菊,桃枝
FD430,小菊,麵線菊粉
FD431,小菊,桃紅雲南菊
FD432,小菊,彩雲
FD433,小菊,芬蘭小粉
FD434,小菊,英國風車
FD435,小菊,林克小粉
FD436,小菊,新秋陽
FD437,雲南菊,雙色粉
FD445,小菊,粉斯不列
FD446,小菊,粉觀音
FD450,小菊,粉風車
FD451,小菊,舞風車
FD452,小菊,辛達粉
FD453,小菊,棒棒糖-粉
FD455,小菊,美麗小粉
FD500,小菊,綠
FD501,小菊,如玉
FD502,小菊,綠絲菊
FD503,小菊,鈕扣菊綠
FD504,小菊,貝雷錄
FD505,小菊,福澤
FD509,小菊,奇濃綠乒乓
FD600,小菊,白
FD601,小菊,丁字菊白
FD602,小菊,白銅錢
FD603,小菊,空心白(短瓣)
FD604,小菊,空心白(長瓣)
FD605,小菊,白初朝
FD607,小菊,白乒乓
FD608,小菊,小秋白
FD609,小菊,雞眼小白
FD610,小菊,青心小白
FD611,小菊,新丁字白
FD612,小菊,白雲南菊
FD613,小菊,鈕扣菊白
FD614,小菊,法國小菊白
FD615,小菊,翠玉
FD616,小菊,跳舞白
FD617,小菊,白觀音
FD618,小菊,白鑽石
FD619,小菊,小雪球白
FD620,小菊,荷蘭小白
FD621,小菊,川涼
FD622,小菊,吉祥白
FD623,小菊,相思小白
FD625,小菊,白瑪格麗特
FD630,小菊,白麵線小菊
FD632,小菊,珍珠白
FD633,小菊,芬蘭小白
FD635,小菊,林克小白
FD645,小菊,白斯不列
FD646,小菊,邦白
FD712,小菊,紫雲南菊
FD752,小菊,辛達紫紅
FD800,小菊,染色小菊
FD900,小菊,迷你翠菊
FE000,非洲菊,
FE001,非洲菊,混合色
FE100,非洲菊,紅
FE101,非洲菊,雙色紅
FE102,非洲菊,達利奇
FE103,非洲菊,紅水晶
FE104,非洲菊,雷諾
FE105,非洲菊,希蘿
FE106,非洲菊,蘿瑞托
FE107,非洲菊,華麗
FE108,非洲菊,紅巴黎
FE109,非洲菊,哈比
FE200,非洲菊,橙
FE201,非洲菊,太陽神
FE202,非洲菊,沙丘
FE203,非洲菊,歐林
FE204,非洲菊,梅蘿絲
FE300,非洲菊,黃
FE301,非洲菊,熱浪
FE400,非洲菊,粉
FE401,非洲菊,伊斯瑪拉
FE402,非洲菊,瑪露西亞
FE403,非洲菊,多尼卡
FE404,非洲菊,慕尼拉
FE405,非洲菊,羅莎琳
FE406,非洲菊,粉佳人
FE407,非洲菊,火花
FE408,非洲菊,粉紅佳人
FE409,非洲菊,粉紅魅力
FE410,非洲菊,南丁格爾
FE411,非洲菊,莉朵
FE412,非洲菊,拿破崙
FE413,非洲菊,飛兒
FE415,非洲菊,粉美麗
FE600,非洲菊,白
FE601,非洲菊,白雪
FE602,非洲菊,瑪利亞
FE603,非洲菊,比安可
FE604,非洲菊,白熊
FE700,非洲菊,紫
FE701,非洲菊,紫王子
FE801,非洲菊,波波
FE900,非洲菊,迷你混色
FE910,非洲菊,迷你紅
FE920,非洲菊,迷你橙
FE930,非洲菊,迷你黃
FE940,非洲菊,迷你粉
FE960,非洲菊,迷你白
FE970,非洲菊,迷你紫
FG000,劍蘭,
FG001,劍蘭,混合色
FG100,劍蘭,紅
FG101,劍蘭,４號
FG102,劍蘭,１３號
FG103,劍蘭,４２號
FG104,劍蘭,２２３號
FG105,劍蘭,２３５號
FG106,劍蘭,馬得利
FG107,劍蘭,黑骨
FG108,劍蘭,櫻紅
FG109,劍蘭,胭脂紅
FG110,劍蘭,玫瑰紅
FG111,劍蘭,４３號
FG112,劍蘭,新櫻紅
FG113,劍蘭,新種紅
FG114,劍蘭,新２２３號
FG115,劍蘭,２４３號
FG116,劍蘭,雙色金紅
FG118,劍蘭,２７８號
FG119,劍蘭,２７９號
FG120,劍蘭,黑骨紅
FG121,劍蘭,２６５號
FG122,劍蘭,康威
FG200,劍蘭,橙
FG201,劍蘭,橙粉
FG300,劍蘭,黃
FG301,劍蘭,深黃
FG302,劍蘭,淺黃
FG303,劍蘭,黃紅心
FG400,劍蘭,粉
FG401,劍蘭,新粉
FG402,劍蘭,司胖
FG403,劍蘭,馬粉
FG404,劍蘭,桃粉
FG405,劍蘭,薄粉
FG406,劍蘭,青殼粉
FG407,劍蘭,粉紅心
FG408,劍蘭,５１２號
FG409,劍蘭,５１３號
FG410,劍蘭,５１５號
FG411,劍蘭,粉紅佳人
FG412,劍蘭,粉巨人
FG413,劍蘭,新司胖
FG414,劍蘭,美國粉
FG415,劍蘭,夏日玫瑰
